Date,kodex200,kodex200x2,kbond3y,kbond10y,kbond20y,us500_UH,usbond10y_UH
2009-12-07,17924.0,10283.862328575322,78321.0,69626.57033024366,53717.21007281685,2593.315186536044,8232.116849243957
2009-12-08,17879.0,10230.674251480315,78452.0,69959.21025565233,54226.81003716964,2561.70094769672,8250.314852544381
2009-12-09,17945.0,10304.664222811723,78521.0,70185.99656380441,54574.68222349498,2580.801869059559,8263.443320776163
2009-12-10,17937.0,10293.922569584149,78251.0,69443.83429956656,53416.78774359024,2606.527497977153,8270.23601095666
2009-12-11,18212.0,10608.011578814296,78295.0,69775.07540239887,53922.728780770274,2614.231142774313,8222.261492210653
2009-12-14,18260.0,10662.329436143122,78334.0,69841.34981692248,54021.4831214203,2624.198589606909,8198.8417817772
2009-12-15,18264.0,10665.392962759135,78524.0,70013.63095899155,54284.31091606143,2609.502156423534,8167.0421849051745
2009-12-16,18212.0,10603.053148036286,78370.0,69809.324733905,53963.79255612629,2626.8086005879304,8205.61788039611
2009-12-17,18042.0,10403.505775583191,78418.0,69713.09248422367,53811.33098936373,2618.807702668829,8342.925175763385
2009-12-18,18025.0,10382.331672249593,78524.0,70099.9993803817,54404.96274217876,2629.816021345513,8293.322215371876
2009-12-21,18007.0,10360.030219018943,78527.0,69950.80930541921,54169.67504973064,2682.491019217377,8288.403633577107
2009-12-22,18139.0,10510.356034546823,78270.0,69479.51500133784,53436.040258132365,2680.436730539771,8220.592650422968
2009-12-23,18204.0,10584.09757900106,78387.0,69543.81100961617,53531.291944503806,2678.888161297079,8197.608134031205
2009-12-24,18453.0,10872.04675184678,78343.0,69714.96468337595,53791.12902365818,2686.0176506359994,8154.487871492696
2009-12-28,18411.0,10820.916614054811,78246.0,69418.47584173108,53329.92396127724,2678.988737314874,8097.632998361722
2009-12-29,18491.0,10913.323596819391,78242.0,69376.45292397977,53261.716762125856,2669.465762420158,8101.233894225124
2009-12-30,18617.0,11060.407456483535,78242.0,69387.5427477169,53275.109205975335,2669.0902457698585,8116.27865398798
2010-01-04,18730.0,11193.006797000991,78067.0,69316.38510185729,53162.204612577625,2648.5753313443875,7986.45794376012
2010-01-05,18711.0,11168.610246236623,78214.0,69646.23410011134,53664.53148868392,2632.957077506249,7955.360576482804
2010-01-06,18841.0,11322.120290072433,78238.0,69550.64154766034,53513.55476116647,2609.391655846176,7854.275987356236
2010-01-07,18608.0,11040.379651726638,78428.0,69989.33326056409,54184.977344466286,2641.2915850527083,7912.358217481294
2010-01-08,18679.0,11122.965365168742,78425.0,69839.19024887393,53948.800845347454,2626.913869956463,7856.920274942979
2010-01-11,18679.0,11121.28809261368,78584.0,69691.31201087839,53716.65510583978,2612.5139757527977,7811.217671959971
2010-01-12,18699.0,11143.42666930298,78623.0,69595.65758699093,53565.53173671522,2588.7258973353933,7864.9421348629
2010-01-13,18395.0,10779.41659234765,78731.0,69873.79878021745,53990.02827778426,2615.831765236217,7844.339218711598
2010-01-14,18612.0,11032.113864699882,78718.0,69777.6859235079,53837.81444097472,2622.9060992555897,7878.543227309939
2010-01-15,18699.0,11133.587397737085,78739.0,69788.74429845577,53851.20424140032,2594.6217359496663,7914.376632148334
2010-01-18,18793.0,11243.845762378152,78683.0,69481.30662831162,53373.07140676397,2597.1620865589625,7921.170974096153
2010-01-19,18810.0,11262.492450722595,78694.0,69705.32521680629,53713.59472554521,2642.942288653521,7945.212896575979
2010-01-20,18831.0,11285.94164942316,78760.0,69823.3001490728,53891.747026935016,2648.4710604235447,8062.394969748899
2010-01-21,18993.0,11478.422005657456,78800.0,69995.19795849142,54153.42061796509,2599.132079754861,8094.2961656631505
2010-01-22,18501.0,10882.010605273796,78845.0,70006.2332744696,54166.799892294905,2561.16724968803,8160.031407666285
2010-01-25,18431.0,10798.023767769952,78845.0,69911.53326129793,54016.55593811512,2558.6841935221205,8096.928158026302
2010-01-26,18047.0,10346.453426434757,78894.0,70029.95065668166,54195.85749540223,2571.2866802355043,8180.847364567385
